col,Car Name,Model,Year,Seats,Chassis Number,Color,Plate Number,Doors,Price Daily,Price Weekly,Price Monthly,Transmition,Category,Kilo_Daily,Kilo_Monthly,Main Picture,Galary Pictures,Social Media ,Website,Approve,Comments, link photos
257-18,Hyundai,Elantra,2022,5,KMHLS4AG4NU260858,Black,B-41551,4,dh129.00,dh749.00,"dh2,799.00",Automatic,Economy,250,4500,TRUE,TRUE,TRUE,TRUE,TRUE,,
251-17,Chevrolet,"	Malibu",2023,5,1G1ZD5ST0PF132739,White,A-47501,4,dh129.00,dh749.00,"dh2,799.00",Automatic,Economy,250,4500,TRUE,TRUE,TRUE,TRUE,TRUE,,
724-22,Chevrolet,"	Malibu",2023,5,1G1ZD5ST8PF208515,Gray,"	CC-30528",,,,,,,,,FALSE,TRUE,TRUE,FALSE,FALSE,No images found based on the car color ,
238-15,"	Nissan","	Altima",2022,5,1N4BL4CW4NN389815,Gray,"	A-47571",4,dh129.00,dh749.00,"dh2,799.00",Automatic,Economy,250,4500,TRUE,TRUE,TRUE,TRUE,TRUE,No images found based on the car color ,
236-14,"	Nissan","	Altima",2022,5,1N4BL4BV7NN386917,Black,"	A-47538",4,dh129.00,dh749.00,"dh2,799.00",Automatic,Economy,250,4500,TRUE,TRUE,TRUE,TRUE,TRUE,,
159-13,Infiniti,"	QX50",2021,5,3PCAJ5BB1MF108423,Gray,"	A-52203",4,dh249.00,"dh1,499.00","dh4,999.00",Automatic,Mid-range/ Premium,250,4500,TRUE,TRUE,TRUE,TRUE,TRUE,,
22-Dec,Toyota,Hiace,2025,13,"JTGHN9CP5S6028137	",White,B-78694,4,dh399.00,"dh2,399.00","dh7,999.00",Automatic,Mid-range/ Premium,250,4500,TRUE,TRUE,TRUE,TRUE,TRUE,,
20-Oct,"	Mitsubishi","	Outlander",2024,7,"JA4J4VA85RZ010990	",Red,"	A-52240",4,dh200.00,"dh1,200.00","dh3,999.00",Automatic,Mid-range/ Premium,250,4500,TRUE,TRUE,TRUE,TRUE,TRUE,,
240-16,Nissan,Versa,2021,5,3N1CN8EV0ML887662,White,A-48785,4,dh79.00,dh469.00,"dh1,699.00",Automatic,Economy,250,4500,TRUE,TRUE,TRUE,TRUE,TRUE,,
21-Nov,BMW,228i,2021,5,"WBA53AK03M7J02001	",Black,A-52270,4,dh220.00,"dh1,300.00","dh3,999.00",Automatic,Mid-range/ Premium,250,4500,TRUE,TRUE,TRUE,TRUE,TRUE,,
19-Sep,Hyundai,Santa Fe,2023,5,5NMS5DAL6PH501348,Black,A-50943,4,dh199.00,"dh1,199.00","dh4,199.00",Automatic,Mid-range/ Premium,250,4500,TRUE,TRUE,TRUE,TRUE,TRUE,,
18-Aug,Hyundai,Sonata,2021,5,KMHL64JA9MA165650,Gray,B-69415,4,dh119.00,dh719.00,"dh2,799.00",Automatic,Economy,250,4500,TRUE,TRUE,TRUE,TRUE,TRUE,,
13-Mar,Kia,Cerato,2020,5,KNAF24169L5863981,Gray,"	A-58379",4,dh85.00,dh499.00,"dh1,850.00",Automatic,Economy,250,4500,TRUE,TRUE,TRUE,TRUE,TRUE,,
12-Feb,Kia,Cerato,2020,5,KNAF24167L5867009,Blue,A-58378,4,dh85.00,dh499.00,"dh1,850.00",Automatic,Economy,250,4500,TRUE,TRUE,TRUE,TRUE,TRUE,No images found based on the car color ,
14-Apr,Kia,Cerato,2020,5,KNAF24162L5867130,White,B-31887,4,dh85.00,dh499.00,"dh1,850.00",Automatic,Economy,250,4500,TRUE,TRUE,TRUE,TRUE,TRUE,No images found based on the car color,
16-Jun,Hyundai,Venue,2021,5,KMHRC8A39MU079121,Silver,A-53169,4,dh99.00,dh595.00,"dh1,999.00",Automatic,Economy,250,4500,TRUE,TRUE,TRUE,TRUE,TRUE,,
328-20,Hyundai,Venue,2022,5,KMHRC8A35NU185549,Red,"	A-48574",4,dh99.00,dh595.00,"dh1,999.00",Automatic,Economy,,,TRUE,TRUE,TRUE,TRUE,TRUE,,
